ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText
1,245,3,06-10-2024,1,I had a bad experience with this product.
2,94,17,31-01-2023,1,Not worth the money.
3,212,3,07-11-2024,2,Disappointed with the performance.
4,19,16,28-09-2023,3,"  Good quality, but could be cheaper.   "
5,202,14,10-09-2024,1,Not worth the money.
6,255,9,30-04-2024,4,Five stars for the quick delivery.
7,47,15,03-05-2023,1,Not  worth  the  money.
8,88,10,24-08-2023,3,"  Average experience, nothing special.   "
9,200,14,27-05-2024,1,I had a bad experience with this product.
10,126,2,12-08-2023,4,Five stars for the quick delivery.
11,179,7,01-02-2024,2,Disappointed with the performance.
12,191,5,07-01-2024,3,"  Average experience, nothing special.   "
13,273,15,24-01-2024,2,Product did not meet my expectations.
14,106,11,11-01-2023,2,Product  did  not  meet  my  expectations.
15,287,3,26-02-2023,1,I had a bad experience with this product.
16,256,6,19-06-2024,1,  The product stopped working after a month.   
17,115,20,01-11-2023,1,Not worth the money.
18,237,13,02-10-2023,1,The product stopped working after a month.
19,213,3,07-07-2023,1,I had a bad experience with this product.
20,194,3,24-09-2023,2,  Disappointed with the performance.   
21,105,13,17-11-2024,4,"Great  purchase,  very  satisfied."
22,55,19,09-02-2024,4,Five stars for the quick delivery.
23,226,11,08-02-2024,1,The product stopped working after a month.
24,153,9,17-08-2023,2,  Disappointed with the performance.   
25,20,19,23-11-2023,5,"Excellent product, highly recommend!"
26,173,13,15-02-2024,4,"Great purchase, very satisfied."
27,9,2,29-10-2024,3,"Good quality, but could be cheaper."
28,103,13,29-05-2023,1,    The  product  stopped  working  after  a  month.      
29,61,2,03-01-2024,1,I had a bad experience with this product.
30,40,13,23-09-2023,5,The quality is top-notch. Fits perfectly!
31,229,17,18-04-2024,1,The product stopped working after a month.
32,29,10,28-05-2024,5,"  Excellent product, highly recommend!   "
33,47,7,31-10-2024,3,"Average experience, nothing special."
34,101,16,08-10-2024,1,I had a bad experience with this product.
35,127,20,01-03-2024,3,"Average  experience,  nothing  special."
36,82,16,05-10-2024,4,  Five stars for the quick delivery.   
37,163,19,11-07-2024,3,"Good quality, but could be cheaper."
38,226,15,25-04-2024,1,The product stopped working after a month.
39,32,11,05-01-2024,4,Shipping was fast and the item was well-packaged.
40,265,19,21-08-2024,1,  The product stopped working after a month.   
41,19,16,02-04-2023,4,Five stars for the quick delivery.
42,197,20,07-09-2024,5,"Excellent  product,  highly  recommend!"
43,167,10,21-12-2024,2,The product arrived late.
44,94,16,10-01-2023,5,  The quality is top-notch. Fits perfectly!   
45,66,19,11-09-2023,4,"Great purchase, very satisfied."
46,54,7,12-05-2023,3,"Good quality, but could be cheaper."
47,261,19,19-07-2023,2,Product did not meet my expectations.
48,135,14,21-01-2023,4,  Five stars for the quick delivery.   
49,33,8,20-03-2024,1,Not  worth  the  money.
50,280,18,22-10-2023,5,"Excellent product, highly recommend!"
51,185,16,08-05-2024,5,"Excellent product, highly recommend!"
52,70,20,11-03-2023,2,  The product arrived late.   
53,137,6,18-12-2024,1,I had a bad experience with this product.
54,192,3,27-08-2024,3,"Average experience, nothing special."
55,212,3,29-04-2024,3,"Good quality, but could be cheaper."
56,187,11,25-07-2024,2,    Disappointed  with  the  performance.      
57,81,5,14-08-2023,1,The product stopped working after a month.
58,189,12,13-05-2023,1,The product stopped working after a month.
59,280,11,23-07-2024,2,Product did not meet my expectations.
60,14,14,19-07-2023,5,  The quality is top-notch. Fits perfectly!   
61,78,5,14-07-2024,1,Not worth the money.
62,91,20,17-08-2023,1,Not worth the money.
63,121,12,28-05-2023,2,The  product  arrived  late.
64,225,17,19-09-2024,2,  Product did not meet my expectations.   
65,54,12,18-07-2023,3,"Average experience, nothing special."
66,210,10,11-05-2024,4,Five stars for the quick delivery.
67,211,17,11-11-2024,4,Shipping was fast and the item was well-packaged.
68,256,9,27-02-2024,4,  Shipping was fast and the item was well-packaged.   
69,185,11,04-02-2023,2,Product did not meet my expectations.
70,78,17,09-09-2023,5,"Excellent  product,  highly  recommend!"
71,6,4,17-07-2024,3,"Average experience, nothing special."
72,26,17,13-07-2024,5,  The quality is top-notch. Fits perfectly!   
73,277,16,20-11-2023,3,"Good quality, but could be cheaper."
74,159,12,27-01-2023,1,The product stopped working after a month.
75,174,18,24-04-2023,1,I had a bad experience with this product.
76,7,11,26-06-2024,5,  The quality is top-notch. Fits perfectly!   
77,56,1,29-07-2024,1,I  had  a  bad  experience  with  this  product.
78,285,14,13-05-2024,2,Disappointed with the performance.
79,252,9,17-09-2023,2,Product did not meet my expectations.
80,223,3,25-08-2024,4,"  Great purchase, very satisfied.   "
81,229,18,15-07-2024,3,"Good quality, but could be cheaper."
82,193,7,29-01-2024,1,Not worth the money.
83,152,13,05-12-2023,4,"Great purchase, very satisfied."
84,113,8,04-11-2023,2,    Product  did  not  meet  my  expectations.      
85,227,9,10-08-2024,3,"Good quality, but could be cheaper."
86,118,7,06-05-2024,2,Disappointed with the performance.
87,76,5,10-12-2024,3,"Good quality, but could be cheaper."
88,88,17,28-04-2023,2,  Disappointed with the performance.   
89,39,12,01-01-2023,4,Five stars for the quick delivery.
90,112,16,25-10-2023,4,"Great purchase, very satisfied."
91,282,16,08-09-2023,4,Shipping  was  fast  and  the  item  was  well-packaged.
92,161,2,27-11-2023,4,  Five stars for the quick delivery.   
93,60,20,24-10-2023,5,The quality is top-notch. Fits perfectly!
94,164,1,16-09-2023,2,Product did not meet my expectations.
95,67,14,28-01-2023,2,Disappointed with the performance.
96,245,19,13-03-2024,4,  Five stars for the quick delivery.   
97,39,9,30-12-2023,2,Disappointed with the performance.
98,250,15,30-08-2023,3,"Good  quality,  but  could  be  cheaper."
99,194,1,08-08-2024,2,The product arrived late.
100,163,19,28-04-2023,2,  Disappointed with the performance.   
101,286,3,25-03-2024,1,Not worth the money.
102,153,16,26-08-2023,3,"Good quality, but could be cheaper."
103,224,12,29-07-2023,2,Disappointed with the performance.
104,226,17,23-06-2024,3,"  Average experience, nothing special.   "
105,269,15,03-11-2023,2,The  product  arrived  late.
106,178,12,08-04-2024,5,"Excellent product, highly recommend!"
107,126,4,08-10-2024,2,Disappointed with the performance.
108,275,9,26-09-2023,4,  Shipping was fast and the item was well-packaged.   
109,200,3,21-03-2024,4,"Great purchase, very satisfied."
110,290,11,05-07-2023,3,"Average experience, nothing special."
111,246,9,03-05-2024,2,Product did not meet my expectations.
112,248,9,31-08-2023,2,    Product  did  not  meet  my  expectations.      
113,81,3,26-05-2023,4,"Great purchase, very satisfied."
114,260,9,11-06-2024,2,Product did not meet my expectations.
115,228,12,28-01-2024,5,"Excellent product, highly recommend!"
116,42,18,30-07-2024,2,  The product arrived late.   
117,241,11,18-01-2024,2,Product did not meet my expectations.
118,276,8,10-05-2023,1,The product stopped working after a month.
119,96,20,11-02-2023,1,I  had  a  bad  experience  with  this  product.
120,15,2,28-11-2023,2,  Disappointed with the performance.   
121,7,11,21-10-2023,3,"Average experience, nothing special."
122,59,15,24-08-2023,3,"Good quality, but could be cheaper."
123,165,18,09-01-2024,4,Shipping was fast and the item was well-packaged.
124,17,11,03-08-2024,5,"  Excellent product, highly recommend!   "
125,293,8,11-10-2023,4,Shipping was fast and the item was well-packaged.
126,95,10,23-02-2024,4,Five  stars  for  the  quick  delivery.
127,241,4,18-05-2023,4,"Great purchase, very satisfied."
128,120,8,26-02-2023,1,  Not worth the money.   
129,209,11,31-08-2023,4,"Great purchase, very satisfied."
130,191,7,31-12-2024,3,"Average experience, nothing special."
131,242,11,22-08-2024,1,I had a bad experience with this product.
132,278,1,07-08-2024,3,"  Good quality, but could be cheaper.   "
133,81,17,10-07-2023,1,The  product  stopped  working  after  a  month.
134,62,20,18-02-2024,5,The quality is top-notch. Fits perfectly!
135,269,16,27-07-2024,2,Product did not meet my expectations.
136,167,16,31-05-2024,1,  I had a bad experience with this product.   
137,283,5,19-12-2024,1,Not worth the money.
138,244,7,21-04-2024,3,"Good quality, but could be cheaper."
139,127,2,25-08-2024,2,Product did not meet my expectations.
140,234,8,17-08-2024,1,    I  had  a  bad  experience  with  this  product.      
141,264,8,23-03-2024,3,"Good quality, but could be cheaper."
142,211,1,05-08-2024,2,Product did not meet my expectations.
143,292,16,30-05-2024,1,Not worth the money.
144,167,11,12-01-2023,1,  Not worth the money.   
145,29,10,12-10-2023,3,"Average experience, nothing special."
146,24,15,22-12-2024,4,Five stars for the quick delivery.
147,205,6,16-09-2024,1,The  product  stopped  working  after  a  month.
148,14,3,18-01-2023,2,  Product did not meet my expectations.   
149,119,6,07-12-2024,4,Five stars for the quick delivery.
150,208,12,01-06-2023,2,Product did not meet my expectations.
151,265,6,20-12-2023,4,Shipping was fast and the item was well-packaged.
152,198,8,17-01-2023,3,"  Average experience, nothing special.   "
153,156,3,26-12-2023,3,"Good quality, but could be cheaper."
154,256,4,11-03-2023,2,Product  did  not  meet  my  expectations.
155,227,11,28-07-2023,2,Disappointed with the performance.
156,283,15,18-06-2023,4,  Shipping was fast and the item was well-packaged.   
157,162,18,03-04-2023,1,The product stopped working after a month.
158,284,15,17-11-2024,5,The quality is top-notch. Fits perfectly!
159,260,17,08-11-2023,5,The quality is top-notch. Fits perfectly!
160,254,11,29-12-2024,3,"  Average experience, nothing special.   "
161,103,18,03-01-2023,3,"Average  experience,  nothing  special."
162,101,13,13-12-2023,2,Disappointed with the performance.
163,245,5,23-03-2024,2,The product arrived late.
164,112,20,15-01-2024,5,  The quality is top-notch. Fits perfectly!   
165,233,1,24-12-2023,5,"Excellent product, highly recommend!"
166,98,2,23-02-2024,2,Disappointed with the performance.
167,213,15,06-07-2023,5,"Excellent product, highly recommend!"
168,66,18,20-04-2023,3,"    Average  experience,  nothing  special.      "
169,199,18,06-09-2023,2,The product arrived late.
170,231,1,07-07-2023,2,Product did not meet my expectations.
171,267,11,18-08-2023,2,Product did not meet my expectations.
172,292,18,09-06-2023,5,"  Excellent product, highly recommend!   "
173,148,19,24-06-2023,4,Shipping was fast and the item was well-packaged.
174,44,8,29-04-2024,5,"Excellent product, highly recommend!"
175,246,8,03-01-2023,3,"Good  quality,  but  could  be  cheaper."
176,99,19,06-02-2023,2,  The product arrived late.   
177,191,17,09-08-2023,5,The quality is top-notch. Fits perfectly!
178,209,18,25-09-2023,1,I had a bad experience with this product.
179,257,7,11-03-2024,1,Not worth the money.
180,265,4,09-03-2024,2,  Product did not meet my expectations.   
181,83,7,02-07-2024,3,"Good quality, but could be cheaper."
182,218,11,13-11-2024,3,"Good  quality,  but  could  be  cheaper."
183,24,13,01-05-2024,2,Product did not meet my expectations.
184,191,12,31-07-2024,3,"  Average experience, nothing special.   "
