ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentCategory,IssueCategory
1,245,3,06-10-2024,1,I had a bad experience with this product.,Negative,Product Performance
2,94,17,31-01-2023,1,Not worth the money.,Negative,Product Cost
3,212,3,07-11-2024,2,Disappointed with the performance.,Negative,Product Performance
4,19,16,28-09-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
5,202,14,10-09-2024,1,Not worth the money.,Negative,Product Cost
6,255,9,30-04-2024,4,Five stars for the quick delivery.,Positive,None
7,47,15,03-05-2023,1,Not worth the money.,Negative,Product Cost
8,88,10,24-08-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
9,200,14,27-05-2024,1,I had a bad experience with this product.,Negative,Product Performance
10,126,2,12-08-2023,4,Five stars for the quick delivery.,Positive,None
11,179,7,01-02-2024,2,Disappointed with the performance.,Negative,Product Performance
12,191,5,07-01-2024,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
13,273,15,24-01-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
14,106,11,11-01-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
15,287,3,26-02-2023,1,I had a bad experience with this product.,Negative,Product Performance
16,256,6,19-06-2024,1,The product stopped working after a month.,Negative,Durability
17,115,20,01-11-2023,1,Not worth the money.,Negative,Product Cost
18,237,13,02-10-2023,1,The product stopped working after a month.,Negative,Durability
19,213,3,07-07-2023,1,I had a bad experience with this product.,Negative,Product Performance
20,194,3,24-09-2023,2,Disappointed with the performance.,Negative,Product Performance
21,105,13,17-11-2024,4,"Great purchase, very satisfied.",Positive,None
22,55,19,09-02-2024,4,Five stars for the quick delivery.,Positive,None
23,226,11,08-02-2024,1,The product stopped working after a month.,Negative,Durability
24,153,9,17-08-2023,2,Disappointed with the performance.,Negative,Product Performance
25,20,19,23-11-2023,5,"Excellent product, highly recommend!",Positive,None
26,173,13,15-02-2024,4,"Great purchase, very satisfied.",Positive,None
27,9,2,29-10-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
28,103,13,29-05-2023,1,The product stopped working after a month.,Negative,Durability
29,61,2,03-01-2024,1,I had a bad experience with this product.,Negative,Product Performance
30,40,13,23-09-2023,5,The quality is top-notch. Fits perfectly!,Positive,None
31,229,17,18-04-2024,1,The product stopped working after a month.,Negative,Durability
32,29,10,28-05-2024,5,"Excellent product, highly recommend!",Positive,None
33,47,7,31-10-2024,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
34,101,16,08-10-2024,1,I had a bad experience with this product.,Negative,Product Performance
35,127,20,01-03-2024,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
36,82,16,05-10-2024,4,Five stars for the quick delivery.,Positive,None
37,163,19,11-07-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
38,226,15,25-04-2024,1,The product stopped working after a month.,Negative,Durability
